time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates
82,3,74,161792,-0.05961504026199691,0.02759702503681183,0.041405506,1.1680126190185547,0.316357421875,0.0003,0.2,0.45523211567197,-15.725685063004494,0.2930099368095398,780
81,4,100,163840,-0.06695687016472221,-0.0386824905872345,0.044470567,1.176224708557129,0.353173828125,0.0003,0.2,0.2715333714848384,-15.766611731052398,0.7175241708755493,790
81,5,125,165888,-0.06412959534209221,-0.034338757395744324,0.046164893,1.1788259744644165,0.36240234375,0.0003,0.2,0.439506416907534,-15.8124391913414,0.03664678335189819,800
81,6,151,167936,-0.07356168469414115,-0.14728930592536926,0.06471968,1.180790901184082,0.432861328125,0.0003,0.2,0.4572273742640391,-15.828610089421272,-0.24554944038391113,810
80,7,178,169984,-0.06992960438365117,-0.15232253074645996,0.048130434,1.183423399925232,0.378759765625,0.0003,0.2,0.3815674446988851,-15.852544966340066,-0.22373032569885254,820
80,8,203,172032,-0.06949558553751559,-0.01737186312675476,0.044095073,1.1795649528503418,0.338623046875,0.0003,0.2,0.3197397959884256,-15.84119492173195,0.1011781096458435,830
80,9,229,174080,-0.05901648261060473,-0.18079312145709991,0.041362144,1.1847857236862183,0.3439453125,0.0003,0.2,0.3396691617788747,-15.853200337290763,0.43654024600982666,840
80,10,255,176128,-0.06381471042695921,-0.17279797792434692,0.048533123,1.190503478050232,0.3591796875,0.0003,0.2,0.2670570014510304,-15.89734518826008,0.0024019479751586914,850
79,11,281,178176,-0.06386451349535491,-0.03734610974788666,0.043961793,1.1888706684112549,0.360498046875,0.0003,0.2,0.21378423408605157,-15.914184948801994,0.5000867545604706,860
79,12,308,180224,-0.06766243744059466,-0.18475203216075897,0.04323058,1.1892120838165283,0.353125,0.0003,0.2,0.2358964220387861,-15.900123664736748,0.4524924159049988,870
79,13,335,182272,-0.06224276502907742,-0.051046520471572876,0.048488986,1.1930660009384155,0.32216796875,0.0003,0.2,0.36930529032833875,-15.926148813962936,0.24167406558990479,880
78,14,364,184320,-0.06344451049808413,-0.20474094152450562,0.049018778,1.190014123916626,0.361083984375,0.0003,0.2,0.31710428565274923,-15.930680641531945,0.2966691851615906,890
78,15,393,186368,-0.06197550069191493,-0.17942576110363007,0.050099984,1.1953061819076538,0.36484375,0.0003,0.2,0.2802934775594622,-15.945753699541092,0.23745328187942505,900
77,16,421,188416,-0.06587781530979556,-0.1425550878047943,0.050234746,1.1910914182662964,0.37265625,0.0003,0.2,0.3111235181801021,-15.937970322370528,0.3536900281906128,910
77,17,451,190464,-0.06568630491674413,-0.1236223429441452,0.056327917,1.1920955181121826,0.3615234375,0.0003,0.2,0.24134483500383794,-15.926508912444115,0.38218116760253906,920
76,18,480,192512,-0.06359508170280606,-0.14323203265666962,0.05498434,1.1941622495651245,0.37607421875,0.0003,0.2,0.30153455170802773,-15.941701143980026,0.4978090524673462,930
75,19,512,194560,-0.061902519135037436,-0.06658065319061279,0.04800967,1.200463891029358,0.37841796875,0.0003,0.2,0.3872811230598018,-15.984166890382767,0.6377546787261963,940
67,1,30,196608,-0.06069096054707188,-0.1144852340221405,0.041119374,1.2005170583724976,0.34560546875,0.0003,0.2,0.3193404702702537,-16.007948255538942,0.30698901414871216,950
66,2,61,198656,-0.0637477544893045,-0.07048556208610535,0.04854583,1.1950175762176514,0.37119140625,0.0003,0.2,0.3220670281443745,-15.978084540367126,0.27092987298965454,960
64,3,94,200704,-0.06367062598583288,0.037387192249298096,0.043335766,1.1956993341445923,0.337646484375,0.0003,0.2,0.4338591125793755,-15.960897001624108,0.43385136127471924,970
63,4,129,202752,-0.0604095269809477,-0.04733964800834656,0.04795223,1.1996973752975464,0.366259765625,0.0003,0.2,0.45551245999522505,-15.978375670313834,0.388921320438385,980
59,5,172,204800,-0.061797685449710114,-0.005181357264518738,0.058031954,1.2008368968963623,0.3654296875,0.0003,0.2,0.4981815994950011,-16.001063054800035,0.11619764566421509,990
57,6,213,206848,-0.06969291039858945,-0.1702374815940857,0.048330426,1.2031100988388062,0.369287109375,0.0003,0.2,0.37568393209949136,-16.019679164886476,0.31505876779556274,1000
58,7,246,208896,-0.06506884729315061,-0.08530853688716888,0.050226606,1.2074044942855835,0.3767578125,0.0003,0.2,0.43671266911551354,-16.048980486392974,0.48985302448272705,1010
57,8,284,210944,-0.0632089443912264,0.07126128673553467,0.061547797,1.2074003219604492,0.4037109375,0.0003,0.2,0.4375832753954455,-16.069356203079224,0.09904807806015015,1020
56,9,325,212992,-0.0657594803487882,-0.02547377347946167,0.047816,1.2076181173324585,0.337939453125,0.0003,0.2,0.39319138778373597,-16.069089329242708,0.29785776138305664,1030
56,10,364,215040,-0.06519000084663276,-0.22654220461845398,0.057320397,1.2084094285964966,0.386376953125,0.0003,0.2,0.27747207465581597,-16.066375339031218,0.31470340490341187,1040
55,11,408,217088,-0.06467818052042276,0.29865697026252747,0.059043724,1.2095502614974976,0.41630859375,0.0003,0.2,0.5141316497232765,-16.07570795416832,0.5743553042411804,1050
54,12,450,219136,-0.06537713937577791,0.2742581069469452,0.048127312,1.2102417945861816,0.378369140625,0.0003,0.2,0.6580415018834174,-16.090452879667282,0.39727044105529785,1060
54,13,486,221184,-0.05862309717340395,0.11592577397823334,0.042496327,1.2125905752182007,0.3376953125,0.0003,0.2,0.5654353186488151,-16.09236999154091,0.6661641001701355,1070
55,14,521,223232,-0.05762814590707421,-0.05717012286186218,0.066983715,1.2174043655395508,0.4185546875,0.0003,0.2,1.246300034224987,-16.12517032623291,0.44532740116119385,1080
54,15,558,225280,-0.0628180386906024,0.03364236652851105,0.050660964,1.2217493057250977,0.3982421875,0.0003,0.2,0.5610784329473972,-16.16217759847641,0.6466046273708344,1090
54,16,602,227328,-0.06307936297380365,-0.02290917932987213,0.05680217,1.2244046926498413,0.405224609375,0.0003,0.2,0.5160848293453455,-16.183757174015046,0.6863909065723419,1100
53,17,646,229376,-0.06660249070555438,-0.2003370225429535,0.059105597,1.2235578298568726,0.4095703125,0.0003,0.2,0.571782742580399,-16.186066335439683,0.287061870098114,1110
53,18,685,231424,-0.0633057787301368,0.0707569420337677,0.062256124,1.2260913848876953,0.43564453125,0.0003,0.2,0.4223559766309336,-16.204532539844514,0.2599526047706604,1120
52,19,734,233472,-0.06236015264003072,0.18292833864688873,0.04420697,1.2277544736862183,0.337744140625,0.0003,0.2,0.5294803196098655,-16.219908052682875,0.28666406869888306,1130
48,1,42,235520,-0.06975735304877162,0.20307230949401855,0.06431556,1.2297656536102295,0.408935546875,0.0003,0.2,0.39084756281226873,-16.235492062568664,-0.1204233169555664,1140
46,2,87,237568,-0.06862547157506924,-0.1735607087612152,0.06062288,1.238311767578125,0.419189453125,0.0003,0.2,0.5043024883139878,-16.2818631708622,0.5125686824321747,1150
42,3,142,239616,-0.060781429946655405,-0.06348857283592224,0.045269974,1.242277979850769,0.36142578125,0.0003,0.2,0.5376403036527335,-16.33045298457146,-0.7185066938400269,1160
42,4,195,241664,-0.06515552168129943,0.1929035782814026,0.05413765,1.2451823949813843,0.386083984375,0.0003,0.2,0.4162486336193979,-16.343200147151947,-0.19959509372711182,1170
40,5,252,243712,-0.06422142658266239,-0.04111042618751526,0.053448215,1.245600700378418,0.386572265625,0.0003,0.2,0.5505275059957058,-16.361890536546706,0.16359740495681763,1180
40,6,300,245760,-0.06273825318494346,-0.18007877469062805,0.055244505,1.2505104541778564,0.38203125,0.0003,0.2,0.34095709295943377,-16.383099180459975,0.25146985054016113,1190
40,7,350,247808,-0.06638734396547079,-0.16325348615646362,0.059496604,1.2510626316070557,0.384814453125,0.0003,0.2,0.43029605005867777,-16.400680631399155,-0.03713488578796387,1200
40,8,401,249856,-0.06487469408893957,-0.1989787369966507,0.042223983,1.2541779279708862,0.351220703125,0.0003,0.2,0.3264090214623138,-16.416578191518784,0.44014209508895874,1210
40,9,452,251904,-0.06446250887820497,0.187116801738739,0.046034478,1.2576626539230347,0.368505859375,0.0003,0.2,0.5462837607599795,-16.439395719766615,0.5154938101768494,1220
40,10,503,253952,-0.06448204276966862,-0.027692526578903198,0.049341552,1.258413553237915,0.348095703125,0.0003,0.2,0.49692975492216646,-16.466644722223283,0.18072128295898438,1230
